Group 1 on team 0 has 4647 units each with 7816 hp.  Does 48 fire damage.
Group 2 on team 0 has 301 units each with 3152 hp.  Does 139 fire damage.
Group 3 on team 0 has 1508 units each with 8344 hp.  Does 85 cold damage.
Group 4 on team 0 has 2956 units each with 5021 hp.  Does 48 slashing damage.
Group 5 on team 0 has 898 units each with 11545 hp.  Does 135 cold damage.
Group 6 on team 0 has 207 units each with 6235 hp.  Does 277 slashing damage.
Group 7 on team 0 has 7550 units each with 8773 hp.  Does 46 radiation damage.
Group 8 on team 0 has 1057 units each with 3791 hp.  Does 62 bludgeoning damage.
Group 9 on team 0 has 5086 units each with 3281 hp.  Does 40 cold damage.
Group 10 on team 0 has 330 units each with 4136 hp.  Does 126 cold damage.
Group 11 on team 1 has 1755 units each with 6886 hp.  Does 6 fire damage.
Group 12 on team 1 has 2251 units each with 33109 hp.  Does 29 cold damage.
Group 13 on team 1 has 298 units each with 18689 hp.  Does 123 slashing damage.
Group 14 on team 1 has 312 units each with 15735 hp.  Does 99 cold damage.
Group 15 on team 1 has 326 units each with 16400 hp.  Does 98 radiation damage.
Group 16 on team 1 has 4365 units each with 54947 hp.  Does 22 cold damage.
Group 17 on team 1 has 1446 units each with 51571 hp.  Does 63 fire damage.
Group 18 on team 1 has 8230 units each with 12331 hp.  Does 2 fire damage.
Group 19 on team 1 has 4111 units each with 17381 hp.  Does 7 cold damage.
Group 20 on team 1 has 366 units each with 28071 hp.  Does 150 fire damage.

Round 1 beginning.
Group 15 on team 1 did 31948 radiation damage to group 9 on team 0, killing 9.000000 units.
Group 15 on team 1 did 31262 radiation damage to group 9 on team 0, killing 9.000000 units.
Group 9 on team 0 did 405440 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 180432 fire damage to group 7 on team 0, killing 20.000000 units.
Group 6 on team 0 did 49029 slashing damage to group 19 on team 1, killing 2.000000 units.
Group 20 on team 1 did 106800 fire damage to group 2 on team 0, killing 33.000000 units.
Group 4 on team 0 did 282432 slashing damage to group 20 on team 1, killing 10.000000 units.
Group 16 on team 1 did 191884 cold damage to group 6 on team 0, killing 30.000000 units.
Group 13 on team 1 did 64206 slashing damage to group 4 on team 0, killing 12.000000 units.
Group 18 on team 1 did 16454 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 690920 radiation damage to group 13 on team 1, killing 36.000000 units.
Group 19 on team 1 did 28742 cold damage to group 5 on team 0, killing 2.000000 units.
Group 3 on team 0 did 127925 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 30096 cold damage to group 3 on team 0, killing 3.000000 units.
Group 12 on team 1 did 65105 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 41328 cold damage to group 18 on team 1, killing 3.000000 units.
Group 8 on team 0 did 130076 bludgeoning damage to group 14 on team 1, killing 8.000000 units.
Group 11 on team 1 did 10494 fire damage to group 10 on team 0, killing 2.000000 units.
Group 2 on team 0 did 32526 fire damage to group 11 on team 1, killing 4.000000 units.
Group 5 on team 0 did 120690 cold damage to group 15 on team 1, killing 7.000000 units.
Group 1 on team 0 did 222288 fire damage to group 16 on team 1, killing 4.000000 units.

Round 3 beginning.
Group 15 on team 1 did 30576 radiation damage to group 9 on team 0, killing 9.000000 units.
Group 9 on team 0 did 404720 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 179550 fire damage to group 7 on team 0, killing 20.000000 units.
Group 20 on team 1 did 103800 fire damage to group 2 on team 0, killing 32.000000 units.
Group 4 on team 0 did 281280 slashing damage to group 20 on team 1, killing 10.000000 units.
Group 16 on team 1 did 191708 cold damage to group 6 on team 0, killing 30.000000 units.
Group 13 on team 1 did 27675 slashing damage to group 5 on team 0, killing 2.000000 units.
Group 18 on team 1 did 16448 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 689080 radiation damage to group 13 on team 1, killing 36.000000 units.
Group 19 on team 1 did 28742 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 127415 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 29304 cold damage to group 4 on team 0, killing 5.000000 units.
Group 12 on team 1 did 65018 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 41076 cold damage to group 19 on team 1, killing 2.000000 units.
Group 8 on team 0 did 129580 bludgeoning damage to group 14 on team 1, killing 8.000000 units.
Group 11 on team 1 did 10470 fire damage to group 10 on team 0, killing 2.000000 units.
Group 2 on team 0 did 28078 fire damage to group 18 on team 1, killing 2.000000 units.
Group 5 on team 0 did 120420 cold damage to group 15 on team 1, killing 7.000000 units.
Group 1 on team 0 did 221904 fire damage to group 16 on team 1, killing 4.000000 units.

Round 4 beginning.
Group 15 on team 1 did 29890 radiation damage to group 9 on team 0, killing 9.000000 units.
Group 9 on team 0 did 404000 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 178668 fire damage to group 7 on team 0, killing 20.000000 units.
Group 20 on team 1 did 100800 fire damage to group 2 on team 0, killing 31.000000 units.
Group 4 on team 0 did 280800 slashing damage to group 20 on team 1, killing 10.000000 units.
Group 16 on team 1 did 191532 cold damage to group 6 on team 0, killing 30.000000 units.
Group 13 on team 1 did 23247 slashing damage to group 5 on team 0, killing 2.000000 units.
Group 18 on team 1 did 16444 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 687240 radiation damage to group 13 on team 1, killing 36.000000 units.
Group 19 on team 1 did 28728 cold damage to group 4 on team 0, killing 5.000000 units.
Group 3 on team 0 did 127415 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 28512 cold damage to group 3 on team 0, killing 3.000000 units.
Group 12 on team 1 did 64931 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 40824 cold damage to group 19 on team 1, killing 2.000000 units.
Group 8 on team 0 did 129084 bludgeoning damage to group 14 on team 1, killing 8.000000 units.
Group 11 on team 1 did 10470 fire damage to group 10 on team 0, killing 2.000000 units.
Group 2 on team 0 did 23769 fire damage to group 18 on team 1, killing 1.000000 units.
Group 5 on team 0 did 120150 cold damage to group 15 on team 1, killing 7.000000 units.
Group 1 on team 0 did 221520 fire damage to group 16 on team 1, killing 4.000000 units.

Round 5 beginning.
Group 15 on team 1 did 29204 radiation damage to group 9 on team 0, killing 8.000000 units.
Group 9 on team 0 did 403360 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 177786 fire damage to group 7 on team 0, killing 20.000000 units.
Group 20 on team 1 did 97800 fire damage to group 2 on team 0, killing 31.000000 units.
Group 4 on team 0 did 280320 slashing damage to group 20 on team 1, killing 9.000000 units.
Group 16 on team 1 did 191356 cold damage to group 6 on team 0, killing 30.000000 units.
Group 13 on team 1 did 18819 slashing damage to group 5 on team 0, killing 1.000000 units.
Group 18 on team 1 did 16442 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 685400 radiation damage to group 13 on team 1, killing 36.000000 units.
Group 19 on team 1 did 28714 cold damage to group 4 on team 0, killing 5.000000 units.
Group 3 on team 0 did 127160 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 27720 cold damage to group 3 on team 0, killing 3.000000 units.
Group 12 on team 1 did 64844 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 40572 cold damage to group 19 on team 1, killing 2.000000 units.
Group 8 on team 0 did 128588 bludgeoning damage to group 14 on team 1, killing 8.000000 units.
Group 11 on team 1 did 10470 fire damage to group 10 on team 0, killing 2.000000 units.
Group 2 on team 0 did 19460 fire damage to group 18 on team 1, killing 1.000000 units.
Group 5 on team 0 did 120015 cold damage to group 15 on team 1, killing 7.000000 units.
Group 1 on team 0 did 221136 fire damage to group 16 on team 1, killing 4.000000 units.

Round 6 beginning.
Group 15 on team 1 did 28518 radiation damage to group 4 on team 0, killing 5.000000 units.
Group 9 on team 0 did 403360 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 176904 fire damage to group 7 on team 0, killing 20.000000 units.
Group 20 on team 1 did 95100 fire damage to group 2 on team 0, killing 30.000000 units.
Group 4 on team 0 did 279360 slashing damage to group 20 on team 1, killing 9.000000 units.
Group 16 on team 1 did 191180 cold damage to group 6 on team 0, killing 30.000000 units.
Group 13 on team 1 did 14391 slashing damage to group 8 on team 0, killing 3.000000 units.
Group 18 on team 1 did 16440 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 683560 radiation damage to group 13 on team 1, killing 36.000000 units.
Group 19 on team 1 did 28700 cold damage to group 9 on team 0, killing 8.000000 units.
Group 3 on team 0 did 126905 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 26928 cold damage to group 3 on team 0, killing 3.000000 units.
Group 12 on team 1 did 64757 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 40320 cold damage to group 14 on team 1, killing 2.000000 units.
Group 8 on team 0 did 128216 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 11 on team 1 did 10470 fire damage to group 10 on team 0, killing 2.000000 units.
Group 2 on team 0 did 15290 fire damage to group 18 on team 1, killing 1.000000 units.
Group 5 on team 0 did 119880 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 220752 fire damage to group 16 on team 1, killing 4.000000 units.

Round 7 beginning.
Group 15 on team 1 did 27832 radiation damage to group 4 on team 0, killing 5.000000 units.
Group 9 on team 0 did 402720 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 176022 fire damage to group 7 on team 0, killing 20.000000 units.
Group 20 on team 1 did 92400 fire damage to group 2 on team 0, killing 29.000000 units.
Group 4 on team 0 did 278880 slashing damage to group 20 on team 1, killing 9.000000 units.
Group 16 on team 1 did 191004 cold damage to group 6 on team 0, killing 27.000000 units.
Group 13 on team 1 did 9963 slashing damage to group 10 on team 0, killing 2.000000 units.
Group 18 on team 1 did 16438 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 681720 radiation damage to group 13 on team 1, killing 36.000000 units.
Group 19 on team 1 did 28658 cold damage to group 9 on team 0, killing 8.000000 units.
Group 3 on team 0 did 126650 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 26730 cold damage to group 3 on team 0, killing 3.000000 units.
Group 12 on team 1 did 64670 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 39816 cold damage to group 14 on team 1, killing 2.000000 units.
Group 8 on team 0 did 128216 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 11 on team 1 did 10470 fire damage to group 8 on team 0, killing 2.000000 units.
Group 2 on team 0 did 11259 fire damage to group 18 on team 1, killing 0.000000 units.
Group 5 on team 0 did 119745 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 220368 fire damage to group 16 on team 1, killing 4.000000 units.

Round 8 beginning.
Group 15 on team 1 did 27146 radiation damage to group 3 on team 0, killing 3.000000 units.
Group 9 on team 0 did 402080 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 175140 fire damage to group 2 on team 0, killing 55.000000 units.
Group 20 on team 1 did 44850 fire damage to group 9 on team 0, killing 13.000000 units.
Group 4 on team 0 did 278880 slashing damage to group 20 on team 1, killing 9.000000 units.
Group 16 on team 1 did 95414 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16438 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 680800 radiation damage to group 13 on team 1, killing 36.000000 units.
Group 19 on team 1 did 28616 cold damage to group 4 on team 0, killing 5.000000 units.
Group 3 on team 0 did 126140 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 26532 cold damage to group 5 on team 0, killing 2.000000 units.
Group 12 on team 1 did 64583 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 39816 cold damage to group 14 on team 1, killing 2.000000 units.
Group 8 on team 0 did 127472 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 11 on team 1 did 10470 fire damage to group 10 on team 0, killing 2.000000 units.
Group 2 on team 0 did 3614 fire damage to group 18 on team 1, killing 0.000000 units.
Group 5 on team 0 did 119475 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 219984 fire damage to group 16 on team 1, killing 4.000000 units.

Round 9 beginning.
Group 15 on team 1 did 26460 radiation damage to group 3 on team 0, killing 3.000000 units.
Group 9 on team 0 did 401040 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 174258 fire damage to group 2 on team 0, killing 26.000000 units.
Group 20 on team 1 did 43500 fire damage to group 9 on team 0, killing 13.000000 units.
Group 4 on team 0 did 278400 slashing damage to group 20 on team 1, killing 9.000000 units.
Group 16 on team 1 did 95326 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16438 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 679880 radiation damage to group 13 on team 1, killing 9.000000 units.
Group 19 on team 1 did 28574 cold damage to group 4 on team 0, killing 5.000000 units.
Group 3 on team 0 did 125885 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 26334 cold damage to group 5 on team 0, killing 2.000000 units.
Group 12 on team 1 did 64496 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 39564 cold damage to group 14 on team 1, killing 2.000000 units.
Group 8 on team 0 did 126976 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 11 on team 1 did 10470 fire damage to group 10 on team 0, killing 2.000000 units.
Group 5 on team 0 did 119205 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 219600 fire damage to group 16 on team 1, killing 3.000000 units.

Round 10 beginning.
Group 15 on team 1 did 25774 radiation damage to group 8 on team 0, killing 6.000000 units.
Group 9 on team 0 did 400000 cold damage to group 20 on team 1, killing 14.000000 units.
Group 17 on team 1 did 87129 fire damage to group 1 on team 0, killing 11.000000 units.
Group 20 on team 1 did 40050 fire damage to group 4 on team 0, killing 7.000000 units.
Group 4 on team 0 did 277248 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 95260 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16438 fire damage to group 10 on team 0, killing 3.000000 units.
Group 7 on team 0 did 339480 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28532 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 125630 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 24453 cold damage to group 5 on team 0, killing 2.000000 units.
Group 12 on team 1 did 64409 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 38934 cold damage to group 18 on team 1, killing 3.000000 units.
Group 8 on team 0 did 126232 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 118935 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 219072 fire damage to group 17 on team 1, killing 4.000000 units.

Round 11 beginning.
Group 15 on team 1 did 25088 radiation damage to group 5 on team 0, killing 2.000000 units.
Group 9 on team 0 did 398480 cold damage to group 20 on team 1, killing 14.000000 units.
Group 17 on team 1 did 86877 fire damage to group 1 on team 0, killing 11.000000 units.
Group 20 on team 1 did 37950 fire damage to group 4 on team 0, killing 7.000000 units.
Group 4 on team 0 did 276576 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 95128 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16432 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 339020 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28490 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 125375 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 22770 cold damage to group 10 on team 0, killing 5.000000 units.
Group 12 on team 1 did 64322 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 38304 cold damage to group 18 on team 1, killing 3.000000 units.
Group 8 on team 0 did 125736 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 118665 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 218544 fire damage to group 17 on team 1, killing 4.000000 units.

Round 12 beginning.
Group 15 on team 1 did 24402 radiation damage to group 5 on team 0, killing 2.000000 units.
Group 9 on team 0 did 396960 cold damage to group 20 on team 1, killing 14.000000 units.
Group 17 on team 1 did 86625 fire damage to group 1 on team 0, killing 11.000000 units.
Group 20 on team 1 did 35850 fire damage to group 4 on team 0, killing 7.000000 units.
Group 4 on team 0 did 275904 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 94996 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16426 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 338560 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28448 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 125120 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 21087 cold damage to group 10 on team 0, killing 5.000000 units.
Group 12 on team 1 did 64235 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 37674 cold damage to group 18 on team 1, killing 3.000000 units.
Group 8 on team 0 did 125240 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 118395 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 218016 fire damage to group 17 on team 1, killing 4.000000 units.

Round 13 beginning.
Group 15 on team 1 did 23716 radiation damage to group 5 on team 0, killing 2.000000 units.
Group 9 on team 0 did 395440 cold damage to group 20 on team 1, killing 14.000000 units.
Group 17 on team 1 did 86373 fire damage to group 1 on team 0, killing 11.000000 units.
Group 20 on team 1 did 33750 fire damage to group 4 on team 0, killing 6.000000 units.
Group 4 on team 0 did 275328 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 94864 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16420 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 338100 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28406 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 124865 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 19404 cold damage to group 10 on team 0, killing 4.000000 units.
Group 12 on team 1 did 64148 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 37170 cold damage to group 18 on team 1, killing 3.000000 units.
Group 8 on team 0 did 124744 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 118125 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 217488 fire damage to group 17 on team 1, killing 4.000000 units.

Round 14 beginning.
Group 15 on team 1 did 23030 radiation damage to group 5 on team 0, killing 1.000000 units.
Group 9 on team 0 did 393920 cold damage to group 20 on team 1, killing 14.000000 units.
Group 17 on team 1 did 86121 fire damage to group 1 on team 0, killing 11.000000 units.
Group 20 on team 1 did 31650 fire damage to group 4 on team 0, killing 6.000000 units.
Group 4 on team 0 did 274752 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 94732 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16414 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 337640 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28364 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 124610 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 17721 cold damage to group 10 on team 0, killing 4.000000 units.
Group 12 on team 1 did 64061 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 36666 cold damage to group 18 on team 1, killing 2.000000 units.
Group 8 on team 0 did 124248 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 117990 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 216960 fire damage to group 17 on team 1, killing 4.000000 units.

Round 15 beginning.
Group 15 on team 1 did 22344 radiation damage to group 5 on team 0, killing 1.000000 units.
Group 9 on team 0 did 392400 cold damage to group 20 on team 1, killing 13.000000 units.
Group 17 on team 1 did 85869 fire damage to group 1 on team 0, killing 10.000000 units.
Group 20 on team 1 did 29700 fire damage to group 4 on team 0, killing 5.000000 units.
Group 4 on team 0 did 274272 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 94600 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16410 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 337180 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28322 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 124355 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 16038 cold damage to group 10 on team 0, killing 3.000000 units.
Group 12 on team 1 did 63974 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 36288 cold damage to group 18 on team 1, killing 2.000000 units.
Group 8 on team 0 did 123752 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 117855 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 216480 fire damage to group 17 on team 1, killing 4.000000 units.

Round 16 beginning.
Group 15 on team 1 did 21658 radiation damage to group 5 on team 0, killing 1.000000 units.
Group 9 on team 0 did 390880 cold damage to group 20 on team 1, killing 13.000000 units.
Group 17 on team 1 did 85617 fire damage to group 1 on team 0, killing 10.000000 units.
Group 20 on team 1 did 27750 fire damage to group 4 on team 0, killing 5.000000 units.
Group 4 on team 0 did 273792 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 94468 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16406 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 336720 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28280 cold damage to group 3 on team 0, killing 3.000000 units.
Group 3 on team 0 did 124100 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 14355 cold damage to group 10 on team 0, killing 3.000000 units.
Group 12 on team 1 did 63887 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 35910 cold damage to group 18 on team 1, killing 2.000000 units.
Group 8 on team 0 did 123256 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 117720 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 216000 fire damage to group 17 on team 1, killing 4.000000 units.

Round 17 beginning.
Group 15 on team 1 did 20972 radiation damage to group 5 on team 0, killing 1.000000 units.
Group 9 on team 0 did 389360 cold damage to group 20 on team 1, killing 13.000000 units.
Group 17 on team 1 did 85365 fire damage to group 1 on team 0, killing 10.000000 units.
Group 20 on team 1 did 25800 fire damage to group 3 on team 0, killing 3.000000 units.
Group 4 on team 0 did 273792 slashing damage to group 14 on team 1, killing 17.000000 units.
Group 16 on team 1 did 94336 cold damage to group 7 on team 0, killing 10.000000 units.
Group 18 on team 1 did 16402 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 336260 radiation damage to group 16 on team 1, killing 6.000000 units.
Group 19 on team 1 did 28238 cold damage to group 4 on team 0, killing 5.000000 units.
Group 3 on team 0 did 123845 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 12672 cold damage to group 10 on team 0, killing 3.000000 units.
Group 12 on team 1 did 63800 cold damage to group 9 on team 0, killing 19.000000 units.
Group 10 on team 0 did 35532 cold damage to group 18 on team 1, killing 2.000000 units.
Group 8 on team 0 did 122760 bludgeoning damage to group 15 on team 1, killing 7.000000 units.
Group 5 on team 0 did 117585 cold damage to group 19 on team 1, killing 6.000000 units.
Group 1 on team 0 did 215520 fire damage to group 17 on team 1, killing 4.000000 units.

Round 18 beginning.
Group 15 on team 1 did 20286 radiation damage to group 5 on team 0, killing 1.000000 units.
Group 9 on team 0 did 387840 cold damage to group 20 on team 1, killing 13.000000 units.
Group 17 on team 1 did 85113 fire damage to group 1 on team 0, killing 10.000000 units.
Group 20 on team 1 did 23850 fire damage to group 3 on team 0, killing 2.000000 units.
Group 4 on team 0 did 273312 slashing damage to group 14 on team 1, killing 17.000000 units.
